,name,pokedex_number,abilities,types,classification,generation,Body_Style,Color
162,Hoothoot,163,Tinted Lens,normal,Owl Pokémon,2,two_wings,Brown
163,Noctowl,164,Tinted Lens,normal,Owl Pokémon,2,two_wings,Brown
169,Chinchou,170,Volt Absorb,water,Angler Pokémon,2,with_fins,Blue
169,Chinchou,170,Water Absorb,water,Angler Pokémon,2,with_fins,Blue
170,Lanturn,171,Volt Absorb,water,Light Pokémon,2,with_fins,Blue
170,Lanturn,171,Water Absorb,water,Light Pokémon,2,with_fins,Blue
185,Politoed,186,Water Absorb,water,Frog Pokémon,2,bipedal_tailed,Green
193,Wooper,194,Water Absorb,water,Water Fish Pokémon,2,head_legs,Blue
193,Wooper,194,Water Absorb,ground,Water Fish Pokémon,2,head_legs,Blue
193,Wooper,194,Unaware,water,Water Fish Pokémon,2,head_legs,Blue
193,Wooper,194,Unaware,ground,Water Fish Pokémon,2,head_legs,Blue
194,Quagsire,195,Water Absorb,water,Water Fish Pokémon,2,bipedal_tailed,Blue
194,Quagsire,195,Water Absorb,ground,Water Fish Pokémon,2,bipedal_tailed,Blue
194,Quagsire,195,Unaware,water,Water Fish Pokémon,2,bipedal_tailed,Blue
194,Quagsire,195,Unaware,ground,Water Fish Pokémon,2,bipedal_tailed,Blue
216,Ursaring,217,Unnerve,normal,Hibernator Pokémon,2,bipedal_tailed,Brown
218,Magcargo,219,Weak Armor,rock,Lava Pokémon,2,serpentine_body,Red
224,Delibird,225,Vital Spirit,ice,Delivery Pokémon,2,two_wings,Red
225,Mantine,226,Water Absorb,water,Kite Pokémon,2,two_wings,Purple
225,Mantine,226,Water Veil,water,Kite Pokémon,2,two_wings,Purple
226,Skarmory,227,Weak Armor,steel,Armor Bird Pokémon,2,two_wings,Grey
232,Porygon2,233,Trace,normal,Virtual Pokémon,2,head_legs,Red
247,Tyranitar,248,Unnerve,rock,Armor Pokémon,2,bipedal_tailed,Green
251,Treecko,252,Unburden,grass,Wood Gecko Pokémon,3,bipedal_tailed,Green
252,Grovyle,253,Unburden,grass,Wood Gecko Pokémon,3,bipedal_tailed,Green
253,Sceptile,254,Unburden,grass,Forest Pokémon,3,bipedal_tailed,Green
257,Mudkip,258,Torrent,water,Mud Fish Pokémon,3,quadruped,Blue
258,Marshtomp,259,Torrent,water,Mud Fish Pokémon,3,bipedal_tailed,Blue
258,Marshtomp,259,Torrent,ground,Mud Fish Pokémon,3,bipedal_tailed,Blue
259,Swampert,260,Torrent,water,Mud Fish Pokémon,3,bipedal_tailed,Blue
259,Swampert,260,Torrent,ground,Mud Fish Pokémon,3,bipedal_tailed,Blue
279,Ralts,280,Trace,psychic,Feeling Pokémon,3,bipedal_tailless,White
280,Kirlia,281,Trace,psychic,Emotion Pokémon,3,bipedal_tailless,White
281,Gardevoir,282,Trace,psychic,Embrace Pokémon,3,bipedal_tailless,White
286,Slakoth,287,Truant,normal,Slacker Pokémon,3,quadruped,Brown
287,Vigoroth,288,Vital Spirit,normal,Wild Monkey Pokémon,3,bipedal_tailed,White
288,Slaking,289,Truant,normal,Lazy Pokémon,3,bipedal_tailless,Brown
291,Shedinja,292,Wonder Guard,ghost,Shed Pokémon,3,head_base,Brown
299,Skitty,300,Wonder Skin ,normal,Kitten Pokémon,3,quadruped,Pink
300,Delcatty,301,Wonder Skin ,normal,Prim Pokémon,3,quadruped,Purple
319,Wailmer,320,Water Veil,water,Ball Whale Pokémon,3,with_fins,Blue
320,Wailord,321,Water Veil,water,Float Whale Pokémon,3,with_fins,Blue
330,Cacnea,331,Water Absorb,grass,Cactus Pokémon,3,bipedal_tailless,Green
331,Cacturne,332,Water Absorb,grass,Scarecrow Pokémon,3,bipedal_tailless,Green
334,Zangoose,335,Toxic Boost,normal,Cat Ferret Pokémon,3,bipedal_tailed,White
366,Huntail,367,Water Veil,water,Deep Sea Pokémon,3,serpentine_body,Blue
392,Piplup,393,Torrent,water,Penguin Pokémon,4,bipedal_tailless,Blue
393,Prinplup,394,Torrent,water,Penguin Pokémon,4,bipedal_tailed,Blue
394,Empoleon,395,Torrent,water,Emperor Pokémon,4,bipedal_tailed,Blue
394,Empoleon,395,Torrent,steel,Emperor Pokémon,4,bipedal_tailed,Blue
398,Bidoof,399,Unaware,normal,Plump Mouse Pokémon,4,quadruped,Brown
399,Bibarel,400,Unaware,normal,Beaver Pokémon,4,bipedal_tailed,Brown
399,Bibarel,400,Unaware,water,Beaver Pokémon,4,bipedal_tailed,Brown
406,Roserade,407,Technician,grass,Bouquet Pokémon,4,bipedal_tailless,Green
406,Roserade,407,Technician,poison,Bouquet Pokémon,4,bipedal_tailless,Green
417,Buizel,418,Swift Swim,water,Sea Weasel Pokémon,4,quadruped,Brown
417,Buizel,418,Water Veil,water,Sea Weasel Pokémon,4,quadruped,Brown
418,Floatzel,419,Swift Swim,water,Sea Weasel Pokémon,4,quadruped,Brown
418,Floatzel,419,Water Veil,water,Sea Weasel Pokémon,4,quadruped,Brown
423,Ambipom,424,Technician,normal,Long Tail Pokémon,4,bipedal_tailed,Purple
424,Drifloon,425,Unburden,ghost,Balloon Pokémon,4,head_arms,Purple
425,Drifblim,426,Unburden,ghost,Blimp Pokémon,4,head_arms,Purple
431,Purugly,432,Thick Fat,normal,Tiger Cat Pokémon,4,quadruped,Grey
438,Mime Jr.,439,Technician,psychic,Mime Pokémon,4,bipedal_tailless,Pink
440,Chatot,441,Tangled Feet,normal,Music Note Pokémon,4,two_wings,Black
445,Munchlax,446,Thick Fat,normal,Big Eater Pokémon,4,bipedal_tailless,Black
455,Finneon,456,Swift Swim,water,Wing Fish Pokémon,4,with_fins,Blue
455,Finneon,456,Water Veil,water,Wing Fish Pokémon,4,with_fins,Blue
456,Lumineon,457,Swift Swim,water,Neon Pokémon,4,with_fins,Blue
456,Lumineon,457,Water Veil,water,Neon Pokémon,4,with_fins,Blue
457,Mantyke,458,Swift Swim,water,Kite Pokémon,4,two_wings,Blue
457,Mantyke,458,Water Absorb,water,Kite Pokémon,4,two_wings,Blue
457,Mantyke,458,Water Veil,water,Kite Pokémon,4,two_wings,Blue
472,Mamoswine,473,Thick Fat,ice,Twin Tusk Pokémon,4,quadruped,Brown
472,Mamoswine,473,Thick Fat,ground,Twin Tusk Pokémon,4,quadruped,Brown
482,Dialga,483,Telepathy,steel,Temporal Pokémon,4,quadruped,White
483,Palkia,484,Telepathy,water,Spatial Pokémon,4,bipedal_tailed,Purple
486,Giratina,487,Telepathy,ghost,Renegade Pokémon,4,serpentine_body,Black
493,Victini,494,Victory Star,psychic,Victory Pokémon,5,bipedal_tailless,Yellow
500,Oshawott,501,Torrent,water,Sea Otter Pokémon,5,bipedal_tailed,Blue
501,Dewott,502,Torrent,water,Discipline Pokémon,5,bipedal_tailed,Blue
502,Samurott,503,Torrent,water,Formidable Pokémon,5,quadruped,Blue
505,Lillipup,506,Vital Spirit,normal,Puppy Pokémon,5,quadruped,Brown
514,Panpour,515,Torrent,water,Spray Pokémon,5,bipedal_tailed,Blue
515,Simipour,516,Torrent,water,Geyser Pokémon,5,bipedal_tailed,Blue
523,Roggenrola,524,Weak Armor,rock,Mantle Pokémon,5,head_legs,Blue
524,Boldore,525,Weak Armor,rock,Ore Pokémon,5,several_limbs,Blue
526,Woobat,527,Unaware,psychic,Bat Pokémon,5,two_wings,Blue
527,Swoobat,528,Unaware,psychic,Courting Pokémon,5,two_wings,Blue
534,Tympole,535,Water Absorb,water,Tadpole Pokémon,5,with_fins,Blue
535,Palpitoad,536,Water Absorb,water,Vibration Pokémon,5,bipedal_tailed,Blue
535,Palpitoad,536,Water Absorb,ground,Vibration Pokémon,5,bipedal_tailed,Blue
536,Seismitoad,537,Water Absorb,water,Vibration Pokémon,5,bipedal_tailless,Blue
536,Seismitoad,537,Water Absorb,ground,Vibration Pokémon,5,bipedal_tailless,Blue
555,Maractus,556,Water Absorb,grass,Cactus Pokémon,5,head_base,Green
556,Dwebble,557,Weak Armor,rock,Rock Inn Pokémon,5,insectoid,Red
557,Crustle,558,Weak Armor,rock,Stone Home Pokémon,5,insectoid,Red
560,Sigilyph,561,Wonder Skin ,psychic,Avianoid Pokémon,5,two_wings,Black
560,Sigilyph,561,Tinted Lens,psychic,Avianoid Pokémon,5,two_wings,Black
568,Garbodor,569,Weak Armor,poison,Trash Heap Pokémon,5,bipedal_tailless,Green
581,Vanillite,582,Weak Armor,ice,Fresh Snow Pokémon,5,head_base,White
582,Vanillish,583,Weak Armor,ice,Icy Snow Pokémon,5,head_base,White
583,Vanilluxe,584,Weak Armor,ice,Snowstorm Pokémon,5,multiple_bodies,White
591,Frillish,592,Water Absorb,water,Floating Pokémon,5,several_limbs,White
591,Frillish,592,Water Absorb,ghost,Floating Pokémon,5,several_limbs,White
592,Jellicent,593,Water Absorb,water,Floating Pokémon,5,several_limbs,White
592,Jellicent,593,Water Absorb,ghost,Floating Pokémon,5,several_limbs,White
631,Durant,632,Truant,steel,Iron Ant Pokémon,5,insectoid,Grey
645,Kyurem,646,Turboblaze,ice,Boundary Pokémon,5,bipedal_tailed,Grey
655,Froakie,656,Torrent,water,Bubble Frog Pokémon,6,quadruped,Blue
656,Frogadier,657,Torrent,water,Bubble Frog Pokémon,6,bipedal_tailless,Blue
657,Greninja,658,Torrent,water,Ninja Pokémon,6,bipedal_tailless,Blue
666,Litleo,667,Unnerve,normal,Lion Cub Pokémon,6,quadruped,Brown
667,Pyroar,668,Unnerve,normal,Royal Pokémon,6,quadruped,Brown
680,Aegislash,681,Stance Change,steel,Royal Sword Pokémon,6,head_base,Brown
680,Aegislash,681,Stance Change,ghost,Royal Sword Pokémon,6,head_base,Brown
685,Inkay,686,Suction Cups,psychic,Revolving Pokémon,6,several_limbs,Blue
686,Malamar,687,Suction Cups,psychic,Overturning Pokémon,6,head_base,Blue
687,Binacle,688,Tough Claws,rock,Two-Handed Pokémon,6,multiple_bodies,Brown
687,Binacle,688,Tough Claws,water,Two-Handed Pokémon,6,multiple_bodies,Brown
688,Barbaracle,689,Tough Claws,rock,Collective Pokémon,6,multiple_bodies,Brown
688,Barbaracle,689,Tough Claws,water,Collective Pokémon,6,multiple_bodies,Brown
693,Helioptile,694,Solar Power,normal,Generator Pokémon,6,bipedal_tailed,Yellow
694,Heliolisk,695,Solar Power,normal,Generator Pokémon,6,bipedal_tailed,Yellow
695,Tyrunt,696,Strong Jaw,rock,Royal Heir Pokémon,6,bipedal_tailed,Brown
695,Tyrunt,696,Sturdy,rock,Royal Heir Pokémon,6,bipedal_tailed,Brown
696,Tyrantrum,697,Strong Jaw,rock,Despot Pokémon,6,bipedal_tailed,Red
697,Amaura,698,Snow Warning,rock,Tundra Pokémon,6,quadruped,Blue
697,Amaura,698,Snow Warning,ice,Tundra Pokémon,6,quadruped,Blue
698,Aurorus,699,Snow Warning,rock,Tundra Pokémon,6,quadruped,Blue
698,Aurorus,699,Snow Warning,ice,Tundra Pokémon,6,quadruped,Blue
702,Carbink,703,Sturdy,rock,Jewel Pokémon,6,head_only,Grey
711,Bergmite,712,Sturdy,ice,Ice Chunk Pokémon,6,quadruped,Blue
712,Avalugg,713,Sturdy,ice,Iceberg Pokémon,6,quadruped,Blue
720,Volcanion,721,Water Absorb,water,Steam Pokémon,6,quadruped,Brown
